Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Wake Forest University,Wake Forest University,North Carolina,NC,Private,4 Year,16032,53322,69354,53322,69354
Wake Technical Community College,Wake Technical Community College,North Carolina,NC,Public,2 Year,,2610,2610,8370,8370
Walden University,Walden University,Minnesota,MN,For Profit,4 Year,,15045,15045,15045,15045
Waldorf University,Waldorf University,Iowa,IA,Private,4 Year,7524,22076,29600,22076,29600
Walla Walla Community College,Walla Walla Community College,Washington,WA,Public,2 Year,,5041,5041,6319,6319
Walla Walla University,Walla Walla University,Washington,WA,Private,4 Year,4275,28035,32310,28035,32310
Wallace State Community College at Hanceville,Wallace State Community College Hanceville,Alabama,AL,Public,2 Year,4600,4740,9340,8610,13210
Walsh College of Accountancy and Business Administration,Walsh College Accountancy and Business Administration,Michigan,MI,Private,4 Year,,17625,17625,17625,17625
Walsh University,Walsh University,Ohio,OH,Private,4 Year,10680,29980,40660,29980,40660
Walters State Community College,Walters State Community College,Tennessee,TN,Public,2 Year,,4428,4428,13194,13194
Warner Pacific University,Warner Pacific College,Oregon,OR,Private,4 Year,9630,18740,28370,18740,28370
Warner University,Warner University,Florida,FL,Private,4 Year,8520,21840,30360,21840,30360
Warren County Community College,Warren County Community College,New Jersey,NJ,Public,2 Year,,4980,4980,5880,5880
Warren Wilson College,Warren Wilson College,North Carolina,NC,Private,4 Year,10980,36280,47260,36280,47260
Wartburg College,Wartburg College,Iowa,IA,Private,4 Year,9996,41280,51276,41280,51276
Washburn University,Washburn University,Kansas,KS,Public,4 Year,8237,8870,17107,19940,28177
Washington & Jefferson College,Washington & Jefferson College,Pennsylvania,PA,Private,4 Year,12676,47964,60640,47964,60640
Washington Adventist University,Washington Adventist University,Maryland,MD,Private,4 Year,9370,23900,33270,23900,33270
Washington and Lee University,Washington and Lee University,Virginia,VA,Private,4 Year,13925,52455,66380,52455,66380
Washington College,Washington College,Maryland,MD,Private,4 Year,12414,46978,59392,46978,59392
Washington County Community College,Washington County Community College,Maine,ME,Public,2 Year,5340,3618,8958,6438,11778
Washington State Community College,Washington State Community College,Ohio,OH,Public,2 Year,,4736,4736,4766,4766
Washington State University,Washington State University,Washington,WA,Public,4 Year,11398,11581,22979,26365,37763
Washington University in St. Louis,Washington University St Louis,Missouri,MO,Private,4 Year,16440,53399,69839,53399,69839
Washtenaw Community College,Washtenaw Community College,Michigan,MI,Public,2 Year,,3150,3150,6900,6900
"Watkins College of Art, Design & Film","Watkins College Art, Design & Film",Tennessee,TN,Private,4 Year,6750,24450,31200,24450,31200
Waubonsee Community College,Waubonsee Community College,Illinois,IL,Public,2 Year,,4080,4080,11295,11295
Waukesha County Technical College,Waukesha County Technical College,Wisconsin,WI,Public,2 Year,,4268,4268,6281,6281
Wayland Baptist University,Wayland Baptist University,Texas,TX,Private,4 Year,7992,20070,28062,20070,28062
